Participante,Jogo,Gols_Casa_Palpite,Gols_Fora_Palpite
Rafael,Portugal x Congo RD,5,2
Rafael,Uzbequistão x Colômbia,1,2
Rafael,Colômbia x Portugal,1,3
Rafael,Congo RD x Uzbequistão,2,1
Rafael,Congo RD x Colômbia,1,2
Rafael,Uzbequistão x Portugal,2,4
Rafael,Inglaterra x Croácia,2,2
Rafael,Gana x Panamá,2,1
Rafael,Inglaterra x Gana,3,1
Rafael,Panamá x Croácia,1,2
Rafael,Croácia x Gana,2,1
Rafael,Panamá x Inglaterra,1,3

Erick,República Tcheca x África do Sul,1,0
Erick,México x Coreia do Sul,1,1
Erick,República Tcheca x México,2,2
Erick,África do Sul x Coreia do Sul,0,1
Erick,Suíça x Bósnia e Herzegovina,1,0
Erick,Canadá x Catar,1,0
Erick,Suíça x Canadá,1,1
Erick,Bósnia e Herzegovina x Catar,1,0
Erick,Escócia x Marrocos,1,2
Erick,Brasil x Haiti,2,0
Erick,Escócia x Brasil,0,2
Erick,Marrocos x Haiti,2,0
Erick,Turquia x Paraguai,1,0
Erick,Estados Unidos x Austrália,2,1
Erick,Turquia x Estados Unidos,0,2
Erick,Paraguai x Austrália,1,2
Erick,Alemanha x Costa do Marfim,2,0
Erick,Equador x Curaçao,2,0
Erick,Equador x Alemanha,1,2
Erick,Curaçao x Costa do Marfim,0,2
Erick,Tunísia x Japão,1,2
Erick,Holanda x Suécia,1,1
Erick,Japão x Suécia,1,1
Erick,Tunísia x Holanda,0,1
Erick,Bélgica x Irã,2,1
Erick,Nova Zelândia x Egito,0,1
Erick,Egito x Irã,1,0
Erick,Nova Zelândia x Bélgica,0,2
Erick,Espanha x Arábia Saudita,2,0
Erick,Uruguai x Cabo Verde,2,1
Erick,Cabo Verde x Arábia Saudita,1,1
Erick,Uruguai x Espanha,1,2
Erick,França x Senegal,3,0
Erick,Iraque x Noruega,0,2
Erick,França x Iraque,3,0
Erick,Noruega x Senegal,1,1
Erick,Noruega x França,1,3
Erick,Senegal x Iraque,1,0
Erick,Áustria x Jordânia,2,0
Erick,Argentina x Argélia,2,0
Erick,Argentina x Áustria,2,0
Erick,Jordânia x Argélia,0,1
Erick,Argélia x Áustria,1,1
Erick,Jordânia x Argentina,0,3
Erick,Portugal x Congo RD,2,0
Erick,Uzbequistão x Colômbia,0,2
Erick,Colômbia x Portugal,1,2
Erick,Congo RD x Uzbequistão,1,1
Erick,Congo RD x Colômbia,0,2
Erick,Uzbequistão x Portugal,0,2
Erick,Inglaterra x Croácia,2,1
Erick,Gana x Panamá,1,0
Erick,Inglaterra x Gana,2,0
Erick,Panamá x Croácia,0,2
Erick,Croácia x Gana,2,0
Erick,Panamá x Inglaterra,0,2

Erika,República Tcheca x África do Sul,2,1
Erika,México x Coreia do Sul,1,0
Erika,República Tcheca x México,2,2
Erika,África do Sul x Coreia do Sul,2,1
Erika,Suíça x Bósnia e Herzegovina,2,0
Erika,Canadá x Catar,3,0
Erika,Suíça x Canadá,1,1
Erika,Bósnia e Herzegovina x Catar,2,1
Erika,Escócia x Marrocos,0,2
Erika,Brasil x Haiti,4,0
Erika,Escócia x Brasil,0,2
Erika,Marrocos x Haiti,3,0
Erika,Turquia x Paraguai,1,1
Erika,Estados Unidos x Austrália,3,1
Erika,Turquia x Estados Unidos,1,1
Erika,Paraguai x Austrália,1,0
Erika,Alemanha x Costa do Marfim,2,0
Erika,Equador x Curaçao,3,0
Erika,Equador x Alemanha,1,2
Erika,Curaçao x Costa do Marfim,0,3
Erika,Tunísia x Japão,0,2
Erika,Holanda x Suécia,2,0
Erika,Japão x Suécia,1,1
Erika,Tunísia x Holanda,0,2
Erika,Bélgica x Irã,2,1
Erika,Nova Zelândia x Egito,0,2
Erika,Egito x Irã,1,1
Erika,Nova Zelândia x Bélgica,0,3
Erika,Espanha x Arábia Saudita,2,0
Erika,Uruguai x Cabo Verde,2,0
Erika,Cabo Verde x Arábia Saudita,1,1
Erika,Uruguai x Espanha,1,1
Erika,França x Senegal,2,1
Erika,Iraque x Noruega,0,3
Erika,França x Iraque,4,0
Erika,Noruega x Senegal,1,1
Erika,Noruega x França,1,2
Erika,Senegal x Iraque,2,0
Erika,Áustria x Jordânia,3,0
Erika,Argentina x Argélia,2,0
Erika,Argentina x Áustria,2,1
Erika,Jordânia x Argélia,0,2
Erika,Argélia x Áustria,1,2
Erika,Jordânia x Argentina,0,3
Erika,Portugal x Congo RD,3,0
Erika,Uzbequistão x Colômbia,0,2
Erika,Colômbia x Portugal,1,2
Erika,Congo RD x Uzbequistão,1,1
Erika,Congo RD x Colômbia,0,2
Erika,Uzbequistão x Portugal,0,3
Erika,Inglaterra x Croácia,2,1
Erika,Gana x Panamá,2,0
Erika,Inglaterra x Gana,2,0
Erika,Panamá x Croácia,0,2
Erika,Croácia x Gana,1,1
Erika,Panamá x Inglaterra,0,3

Léo,República Tcheca x África do Sul,2,1
Léo,México x Coreia do Sul,2,0
Léo,República Tcheca x México,1,2
Léo,África do Sul x Coreia do Sul,1,1
Léo,Suíça x Bósnia e Herzegovina,1,1
Léo,Canadá x Catar,0,2
Léo,Suíça x Canadá,1,1
Léo,Bósnia e Herzegovina x Catar,2,1
Léo,Escócia x Marrocos,1,3
Léo,Brasil x Haiti,3,0
Léo,Escócia x Brasil,1,1
Léo,Marrocos x Haiti,3,0
Léo,Turquia x Paraguai,1,2
Léo,Estados Unidos x Austrália,2,1
Léo,Turquia x Estados Unidos,1,1
Léo,Paraguai x Austrália,1,0
Léo,Alemanha x Costa do Marfim,3,1
Léo,Equador x Curaçao,2,0
Léo,Equador x Alemanha,1,3
Léo,Curaçao x Costa do Marfim,1,1
Léo,Tunísia x Japão,1,2
Léo,Holanda x Suécia,3,1
Léo,Japão x Suécia,1,1
Léo,Tunísia x Holanda,0,2
Léo,Bélgica x Irã,2,1
Léo,Nova Zelândia x Egito,0,1
Léo,Egito x Irã,2,0
Léo,Nova Zelândia x Bélgica,1,1
Léo,Espanha x Arábia Saudita,4,0
Léo,Uruguai x Cabo Verde,3,0
Léo,Cabo Verde x Arábia Saudita,1,2
Léo,Uruguai x Espanha,1,3
Léo,França x Senegal,3,1
Léo,Iraque x Noruega,1,3
Léo,França x Iraque,3,0
Léo,Noruega x Senegal,1,1
Léo,Noruega x França,2,3
Léo,Senegal x Iraque,2,0
Léo,Áustria x Jordânia,2,0
Léo,Argentina x Argélia,4,0
Léo,Argentina x Áustria,3,1
Léo,Jordânia x Argélia,1,1
Léo,Argélia x Áustria,1,3
Léo,Jordânia x Argentina,0,3
Léo,Portugal x Congo RD,3,0
Léo,Uzbequistão x Colômbia,1,2
Léo,Colômbia x Portugal,1,2
Léo,Congo RD x Uzbequistão,2,1
Léo,Congo RD x Colômbia,1,1
Léo,Uzbequistão x Portugal,0,4
Léo,Inglaterra x Croácia,1,2
Léo,Gana x Panamá,1,1
Léo,Inglaterra x Gana,3,0
